latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
26.959578,75.81576,438.0,19800,Asia/Kolkata,GMT+5:30

time,weather_code (wmo code),temperature_2m_mean (°C),temperature_2m_max (°C),temperature_2m_min (°C),precipitation_sum (mm),rain_sum (mm),wind_speed_10m_max (km/h),relative_humidity_2m_max (%),relative_humidity_2m_min (%),relative_humidity_2m_mean (%),wind_speed_10m_min (km/h),wind_speed_10m_mean (km/h)
2015-01-19,1,13.8,20.6,7.0,0.00,0.00,8.9,93,38,68,2.6,6.7
2015-01-20,3,14.1,20.7,8.3,0.00,0.00,18.3,94,39,68,7.8,11.9
2015-01-21,51,15.5,21.2,11.4,0.50,0.50,16.9,90,57,76,7.0,13.0
2015-01-22,61,15.2,19.0,12.6,8.00,8.00,14.1,96,72,87,2.2,6.9
2015-01-23,51,14.7,18.0,12.0,0.50,0.50,8.3,99,64,87,2.1,5.5
2015-01-24,3,13.2,18.0,9.5,0.00,0.00,8.5,98,48,76,2.5,6.0
2015-01-25,3,13.7,18.9,7.7,0.00,0.00,9.4,93,50,72,2.0,6.5
2015-01-26,3,14.1,17.8,11.6,0.00,0.00,9.2,89,51,74,2.6,5.7
2015-01-27,3,13.2,18.0,9.2,0.00,0.00,9.8,96,40,68,1.1,6.6
2015-01-28,1,11.3,16.7,6.7,0.00,0.00,11.0,91,38,66,5.7,8.5
2015-01-29,0,11.1,18.5,4.2,0.00,0.00,9.3,93,35,65,1.6,6.9
2015-01-30,0,11.8,19.1,5.1,0.00,0.00,9.7,89,30,59,3.2,7.3
2015-01-31,0,13.6,21.3,5.4,0.00,0.00,8.9,80,30,53,1.3,6.3
2015-02-01,1,15.3,22.8,7.8,0.00,0.00,16.3,81,38,59,7.2,10.8
2015-02-02,1,17.0,23.4,11.7,0.00,0.00,17.3,84,46,69,6.1,13.8
2015-02-03,0,16.4,23.4,11.3,0.00,0.00,17.7,96,39,71,4.8,9.9
2015-02-04,0,14.5,22.2,8.2,0.00,0.00,12.6,95,28,65,6.5,9.6
2015-02-05,2,13.6,21.6,6.6,0.00,0.00,8.9,97,27,63,1.3,5.8
2015-02-06,3,15.2,22.8,8.2,0.00,0.00,13.7,83,34,59,6.6,9.5
2015-02-07,61,16.5,22.9,12.1,2.20,2.20,14.8,88,48,68,7.6,11.0
2015-02-08,51,17.3,23.4,12.2,0.10,0.10,13.8,96,42,70,0.7,8.1
2015-02-09,1,17.3,23.6,11.9,0.00,0.00,12.0,81,32,57,2.9,8.5
2015-02-10,1,17.2,23.8,10.9,0.00,0.00,9.7,80,28,53,0.4,5.8
2015-02-11,0,16.9,23.9,9.9,0.00,0.00,9.6,84,33,56,2.8,6.7
2015-02-12,0,16.7,23.9,10.7,0.00,0.00,10.6,80,22,49,2.9,8.6
2015-02-13,0,17.5,26.5,8.5,0.00,0.00,14.1,68,24,44,1.4,8.2
2015-02-14,0,20.8,29.4,13.4,0.00,0.00,19.5,58,25,43,8.3,12.6
2015-02-15,3,20.9,28.7,13.0,0.00,0.00,10.2,88,25,53,1.6,6.3
2015-02-16,3,21.4,29.1,14.2,0.00,0.00,17.0,80,31,54,7.7,11.4
2015-02-17,0,21.7,29.6,14.2,0.00,0.00,12.2,95,30,61,0.7,7.5
2015-02-18,61,21.2,27.7,15.2,2.20,2.20,9.9,94,38,67,4.3,7.1
2015-02-19,53,22.7,30.4,15.6,0.70,0.70,13.4,85,22,47,5.4,9.7
2015-02-20,1,22.7,30.5,15.4,0.00,0.00,11.5,86,19,43,1.9,7.2
2015-02-21,0,22.7,31.0,14.2,0.00,0.00,15.5,70,21,43,4.5,9.4
2015-02-22,3,23.1,31.3,16.0,0.00,0.00,15.4,72,22,46,7.6,11.7
2015-02-23,3,23.2,30.9,15.5,0.00,0.00,9.4,76,26,47,1.1,6.2
2015-02-24,3,23.7,31.3,16.2,0.00,0.00,15.5,79,26,48,5.9,9.8
2015-02-25,3,23.5,29.2,17.7,0.00,0.00,22.1,56,18,34,1.5,11.5
2015-02-26,3,18.7,25.1,12.3,0.00,0.00,11.7,23,14,19,2.3,9.5
2015-02-27,0,18.7,25.5,12.0,0.00,0.00,12.2,41,16,26,1.0,7.7
2015-02-28,61,19.6,26.7,14.1,3.50,3.50,22.1,80,25,45,10.4,16.5
2015-03-01,63,17.6,21.2,15.4,32.40,32.40,21.5,97,58,83,9.0,14.3
2015-03-02,63,16.6,20.8,14.4,12.40,12.40,13.8,96,60,83,5.8,10.4
2015-03-03,2,15.9,21.5,10.7,0.00,0.00,11.8,97,35,66,5.1,8.4
2015-03-04,1,16.2,22.4,10.2,0.00,0.00,12.3,86,36,60,2.9,7.2
2015-03-05,1,17.8,24.2,11.4,0.00,0.00,13.9,77,34,55,3.3,9.4
2015-03-06,53,19.2,25.7,12.7,0.50,0.50,9.3,78,34,54,4.7,7.7
2015-03-07,53,19.8,26.5,15.0,1.00,1.00,16.3,83,34,59,5.5,11.0
2015-03-08,1,19.6,26.1,14.0,0.00,0.00,18.4,94,31,61,0.8,7.8
2015-03-09,0,17.3,24.0,11.4,0.00,0.00,18.3,50,21,35,8.6,13.6
2015-03-10,3,16.5,23.7,9.6,0.00,0.00,12.1,86,29,53,3.9,7.7
2015-03-11,3,18.8,27.0,10.2,0.00,0.00,12.8,82,26,48,1.0,6.9
2015-03-12,61,20.8,28.0,14.4,4.40,4.40,12.8,88,32,53,3.6,8.1
2015-03-13,61,20.8,28.4,16.2,3.90,3.90,17.3,84,36,64,1.4,8.4
2015-03-14,51,19.5,25.1,15.7,0.60,0.60,14.3,91,45,72,1.3,7.5
2015-03-15,61,18.4,23.0,14.8,4.20,4.20,25.2,97,63,83,6.3,15.9
2015-03-16,53,18.7,24.1,15.3,0.80,0.80,13.0,97,54,79,2.5,9.6
2015-03-17,3,19.5,26.1,13.7,0.00,0.00,16.1,97,32,66,4.5,9.7
2015-03-18,0,19.1,26.0,12.7,0.00,0.00,15.8,92,29,58,7.1,10.5
2015-03-19,3,20.3,28.0,12.3,0.00,0.00,9.4,85,31,56,2.3,7.0
2015-03-20,2,22.7,30.4,14.6,0.00,0.00,10.2,82,28,52,5.4,8.1
2015-03-21,51,24.7,31.7,18.5,0.10,0.10,11.2,69,29,49,2.2,8.4
2015-03-22,3,25.7,32.9,18.4,0.00,0.00,18.3,71,25,45,1.9,9.5
